16,6,10,12,10,9,11,9,12,18,22,18,23,24,24,21,20,22,18,13,16,21,27,24,26,29,20,28,29,25,22,6,15,23,24,30,19,23,21,19,20,16,16,17,3,16,6,15,9,10,9,9,13,9,10,0,15,18,17,21,22,21,20,14,11,14,0,18,23,17,6,24,19,19,20,3,14,13,6,14,16,18,16,6,14,6,9,11,11,14,0,15,12,6,10,0,0,0,9,17,6,12,13,9,10,0,12,0,6,12,10,0,9,21,16,16,12,12,6,9,13,6,12,13,12,9,13,18, 1, 1
15,6,10,9,10,10,10,11,10,9,12,16,20,25,30,32,38,23,21,14,17,19,12,17,3,17,22,22,0,24,29,23,33,10,20,24,17,17,13,10,15,12,3,17,15,12,12,14,11,12,0,0,10,0,0,0,0,3,3,14,10,6,11,12,17,12,3,12,13,12,6,11,17,3,12,13,12,17,20,16,18,15,9,10,13,13,10,9,15,10,11,13,13,3,6,3,6,6,0,13,9,3,6,0,10,9,14,10,6,10,11,12,20,23,10,3,9,3,10,13,0,6,16,13,10,0,17,6, 1, 1
15,3,0,0,3,9,3,0,13,0,15,16,17,25,26,33,21,32,31,26,29,30,18,28,22,28,29,22,30,30,11,21,31,31,27,25,19,19,9,16,11,13,6,6,17,13,14,9,3,17,13,11,16,9,14,6,6,3,14,11,9,6,11,17,23,23,16,10,16,10,10,19,15,18,22,21,12,22,19,13,12,12,9,11,12,18,18,19,15,3,0,0,13,6,10,0,6,10,6,6,6,6,0,6,6,6,10,9,0,0,6,0,9,3,0,10,9,6,11,9,9,16,10,15,6,9,6,6, 1, 1
12,0,0,0,0,0,0,0,0,0,6,10,14,24,24,16,10,9,6,6,3,3,0,6,6,6,15,39,19,14,9,6,0,0,6,16,10,13,6,11,29,26,19,15,13,13,11,10,12,9,6,9,12,14,36,20,12,15,13,12,13,14,9,16,12,18,18,31,20,14,6,3,11,6,0,0,3,0,0,6,11,19,12,3,3,0,3,6,6,0,0,6,6,6,20,0,0,3,3,0,0,6,6,12,9,6,3,9,16,6,10,3,0,0,0,0,0,0,0,0,0,6,0,3,0,3,3,3, 1, 1
12,0,0,0,3,0,0,0,6,6,6,0,15,15,29,17,16,22,16,24,20,16,15,22,17,26,24,20,18,15,0,18,10,23,12,28,28,22,6,24,17,23,9,11,6,16,19,6,12,14,14,22,6,6,11,0,19,9,18,15,16,13,17,10,10,14,6,0,15,14,3,3,6,3,13,10,12,3,6,9,18,16,16,19,17,11,11,0,0,3,10,6,10,11,6,15,0,15,6,9,10,3,0,0,0,0,6,0,10,6,12,9,18,0,6,11,6,3,9,18,11,11,11,10,3,3,6,11, 1, 1
10,3,0,3,13,3,0,6,13,15,16,13,21,23,31,26,31,28,24,25,25,27,27,14,21,19,29,35,31,26,34,35,24,35,29,30,29,28,25,32,23,11,25,12,11,14,13,15,6,9,15,19,20,18,9,9,19,22,13,16,16,13,17,3,12,16,9,6,0,9,0,6,11,6,9,11,16,18,16,14,25,18,18,0,13,15,13,15,13,6,0,10,6,6,0,3,3,6,3,6,0,3,6,6,6,0,0,6,0,10,0,11,6,6,0,9,0,3,0,6,3,3,6,0,0,6,0,0, 1, 1
16,6,6,6,12,6,10,11,6,3,11,10,11,12,14,39,20,17,18,22,14,22,17,21,3,18,16,18,25,30,37,29,26,16,14,0,16,14,6,0,11,12,0,0,13,18,16,11,0,6,12,13,12,10,10,6,13,0,10,18,18,18,0,0,3,0,10,13,0,3,11,6,0,3,0,6,13,14,3,9,14,20,12,16,6,6,3,3,0,12,6,6,6,3,3,0,6,6,0,6,6,0,6,6,6,3,0,6,3,0,6,0,0,0,0,0,0,0,0,3,3,0,9,6,0,6,0,0, 1, 1
0,9,12,9,10,13,6,12,16,18,15,16,16,27,33,29,32,32,29,26,31,22,16,23,23,24,20,29,13,16,30,27,27,23,28,16,30,36,33,24,16,14,16,20,16,14,16,19,10,19,15,23,26,17,11,16,23,22,0,16,20,6,16,22,24,16,16,17,0,21,22,6,20,16,20,20,14,18,13,13,15,16,10,13,20,17,12,20,14,14,12,6,10,12,13,16,13,9,25,18,13,14,21,19,14,15,17,0,9,12,17,19,12,10,17,16,16,16,18,3,18,19,16,17,0,10,15,20, 1, 1
13,0,0,0,0,0,0,6,10,15,17,24,19,20,25,27,33,27,26,26,17,22,21,30,34,31,17,35,21,30,30,26,33,23,25,25,28,26,21,20,27,21,21,21,23,18,25,19,19,21,25,27,26,16,19,19,6,16,22,18,18,24,21,21,24,23,18,25,21,24,3,16,11,22,11,21,19,19,24,16,14,20,23,12,22,16,6,16,0,18,6,19,16,22,0,0,18,15,13,15,18,16,9,17,10,14,9,15,16,0,9,11,11,23,9,22,21,12,10,0,3,15,6,9,14,9,14,6, 1, 1
12,0,0,0,0,0,0,0,0,6,6,10,13,21,36,21,14,10,6,9,10,0,14,0,11,13,18,3,37,17,15,12,20,16,14,6,14,11,3,11,15,21,34,24,16,13,13,12,14,11,15,12,13,15,19,25,36,32,21,17,11,10,15,19,17,11,6,14,14,18,26,26,21,15,12,12,11,3,12,12,12,16,20,16,29,29,21,16,16,16,15,0,12,6,17,9,19,21,26,27,20,12,13,9,10,14,6,0,9,13,0,11,14,0,6,9,6,3,3,0,0,0,0,0,10,6,12,18, 1, 1
18,12,12,12,13,14,12,14,12,15,14,18,17,28,35,23,19,15,12,19,21,19,20,6,17,22,24,39,39,30,21,21,22,25,18,17,21,14,17,20,26,33,34,23,17,13,3,3,3,6,10,6,13,15,24,28,33,27,21,16,16,16,9,13,19,25,24,9,26,35,24,18,14,6,11,19,15,14,20,23,12,12,24,37,27,20,23,20,12,23,19,15,18,6,0,18,13,18,11,11,6,6,0,12,6,0,6,12,9,6,17,21,14,10,11,3,3,9,15,11,10,6,6,6,15,17,6,18, 1, 1
